id,judul_laporan,tanggal_kejadian,alamat,kelurahan_desa,kecamatan,kab_kota,provinsi,keterangan,kategori,status
00175,"H. Jazuli Juwaini, MA nomor urut 1 dari PKS dapil Banten; caleg DPRD Tangsel dapil VI",2014-04-08 12:00,"Jalan Doktor Setia Budi, Pamulang, South Tangerang City, Banten 15417",,Pamulang,Tangerang Selatan,Banten,Banten; caleg DPRD Tangsel dapil VI Pamulang nomor urut 10 bernama Dr. Shinta dari PKS,Dugaan Pelanggaran Pidana,
00176,"Caleg DPR RI bernama Leni Indrawati SH, Sp.N., MKn nomor urut 6 dari Pertai NasDem untuk dapil Banten III",2014-04-08 12:00,"Jalan Doktor Setia Budi, Pamulang, South Tangerang City, Banten 15417",,Pamulang,Tangerang Selatan,Banten,"Telah ditemukan pelanggaran pada masa tenang oleh caleg DPR RI bernama Leni Indrawati SH, Sp.N., MKn nomor urut 6 dari Pertai NasDem untuk dapil Banten III",Dugaan Pelanggaran Pidana,
00177,"H. Veri Muhlis Arifuzzaman, S.Ag., M.Si nomor urut 2 dari Partai Golkar dapil kota tangsel",2014-04-08 12:00,"Jalan Doktor Setia Budi, Pamulang, South Tangerang City, Banten 15417",,Pamulang,Tangerang Selatan,Banten,"H. Veri Muhlis Arifuzzaman, S.Ag., M.Si nomor urut 2 dari Partai Golkar dapil kota tangsel",Dugaan Pelanggaran Pidana,
00178,"Drajat Sumatsono, SE nomor urut 4 untuk dapil Pamulang dari PDI P",2014-04-08 12:00,"Jalan Doktor Setia Budi, Pamulang, South Tangerang City, Banten 15417",,Pamulang,Tangerang Selatan,Banten,"Telah ditemukan pelanggaran masa tenang oleh caleg DPRD Kota Tangsel bernama Drajat Sumatsono, SE nomor urut 4 untuk dapil Pamulang dari PDI P",Dugaan Pelanggaran Pidana,
00179,Victor Siahaan nomor urut 2 untuk dapil VI Kec. Pamulang dari PKP Indonesia,2014-04-08 12:00,"Jalan Doktor Setia Budi, Pamulang, South Tangerang City, Banten 15417",,Pamulang,Tangerang Selatan,Banten,Telah ditemukan pelanggaran oleh caleg DPRD Kota Tangsel bernama Victor Siahaan nomor urut 2 untuk dapil VI Kec. Pamulang dari PKP Indonesia,Dugaan Pelanggaran Pidana,
00180,Partai Hanura,2014-04-09 12:00,Stasiun Televisi Swasta RCTI,,,,,"Di salah satu stasiun televisi jaringan yaitu RCTI terdapat program acara bernama Mewujudkan Mimpi Indonesia Acara ini berisi tentang kegiatan calon presiden dan calon wakil presiden dari Partai Hanura, Wiranto dan Hary Tanoesudibjo",Dugaan Pelanggaran Pidana,
00181,"Caleg DPRD Kota Tangerang Selatan, Iwan Rahayu nomor urut 1 dapil VI Pamulang dari Partai PDI Perjuangan",2014-04-08 12:00,"Jalan Doktor Setia Budi, Pamulang, South Tangerang City, Banten 15417",,Pamulang,Tangerang Selatan,Banten,"Telah sitemukan pelanggaran yang di lakukan oleh caleg DPRD Kota Tangerang Selatan, Iwan Rahayu nomor urut 1 dapil VI Pamulang dari Partai PDI Perjuangan",Dugaan Pelanggaran Pidana,
00182,"Caleg DPR RI dengan nama Hermawi F. Taslim, SH nomor urut 4 dapil Banten III",2014-04-09 12:00,"Jalan Cabe Raya, Pamulang, South Tangerang City, Banten 15418",,Pamulang,Tangerang Selatan,Banten,"Telah ditemukan Pelanggaran oleh caleg DPR RI dengan nama Hermawi F. Taslim, SH nomor urut 4 dapil Banten III dan Caleg DPRD Tangerang Selatan. Temuan pelanggaran berupa poster terpampang pada masa tenang ini pada sebuah tiang telepon dan pohon palem di depan sebuah Ruko di jalan Cabe Raya, Pondok Cabe, Pamulang. Tangerang Selatan",Dugaan Pelanggaran Pidana,
00183,"Caleg DPRD Tangerang Selatan dengan nama Fahri, SH. MH. MM nomor urut 10 Dapil Pamulang VI dari Partai NasDem",2014-04-09 12:00,"Jalan Cabe Raya, Pamulang, South Tangerang City, Banten 15418",,Pamulang,Tangerang Selatan,Banten,"Fahri, SH. MH. MM nomor urut 10 Dapil Pamulang VI dari Partai NasDem, caleg DPR RI. Temuan pelanggaran berupa poster terpampang pada masa tenang ini pada sebuah tiang telepon dan pohon palem di depan sebuah Ruko di jalan Cabe Raya, Pondok Cabe, Pamulang. Tangerang Selatan",Dugaan Pelanggaran Pidana,
00184,"caleg DPR RI: Indra, SH nomor urut 4 dapil Banten III dari PKS",2014-04-09 12:00,"Jalan Cabe Raya, Pamulang, South Tangerang City, Banten 15418",,Pamulang,Tangerang Selatan,Banten,"Indra, SH nomor urut 4 dapil Banten III dari PKS, dan caleg DPR RI. Temuan pelanggaran berupa poster terpampang pada masa tenang ini pada sebuah tiang telepon dan pohon palem di depan sebuah Ruko di jalan Cabe Raya, Pondok Cabe, Pamulang. Tangerang Selatan",Dugaan Pelanggaran Pidana,
00185,"caleg DPR RI: Yudi Frianto, SH nomor urut 10 dapil Banten III dari Partai NasDem",2014-04-09 12:00,"Jalan Cabe Raya, Pamulang, South Tangerang City, Banten 15418",,Pamulang,Tangerang Selatan,Banten,"Yudi Frianto, SH nomor urut 10 dapil Banten III dari Partai NasDem. Temuan pelanggaran berupa poster terpampang pada masa tenang ini pada sebuah tiang telepon dan pohon palem di depan sebuah Ruko di jalan Cabe Raya, Pondok Cabe, Pamulang. Tangerang Selatan",Dugaan Pelanggaran Pidana,
00186,"caleg DPRD Prov. Banten N. Veri Muhlis Arifuzzaman, S.AG., M.Si nomor urut 2 dari Partai Gorkar",2014-04-08 12:00,"Jalan Doktor Setia Budi, Pamulang, South Tangerang City, Banten 15417",,Pamulang,Tangerang Selatan,Banten,"Telah ditemukan pelanggaran secara bersamaan oleh caleg DPRD Prov. Banten N. Veri Muhlis Arifuzzaman, S.AG., M.Si nomor urut 2 dari Partai Gorkar, Temuan pelanggaran bersama itu berupa poster di tiang telpon pada saat masa tenang",Dugaan Pelanggaran Pidana,
00187,caleg DPRD Tangsel Taufik Hidayat. UA nomor urut 5 dari PAN,2014-04-08 12:00,"Jalan Doktor Setia Budi, Pamulang, South Tangerang City, Banten 15417",,Pamulang,Tangerang Selatan,Banten,"caleg DPRD Tangsel Taufik Hidayat. UA nomor urut 5 dari PAN, Temuan pelanggaran bersama itu berupa poster di tiang telpon pada saat masa tenang",Dugaan Pelanggaran Pidana,
00188,DPR RI M. Ali Taher nomor urut 1 dari PAN,2014-04-08 12:00,"Jalan Doktor Setia Budi, Pamulang, South Tangerang City, Banten 15417",,Pamulang,Tangerang Selatan,Banten,"caleg DPR RI M. Ali Taher nomor urut 1 dari PAN, Temuan pelanggaran bersama itu berupa poster di tiang telpon pada saat masa tenang",Dugaan Pelanggaran Pidana,
00189,Caleg Ir. Sufmi Dasco Ahmad caleg DPR RI dapil Banten III nomor urut 1,2014-04-08 12:00,"Jalan Doktor Setia Budi, Pamulang, South Tangerang City, Banten 15417",,Pamulang,Tangerang Selatan,Banten,"Caleg Ir. Sufmi Dasco Ahmad caleg DPR RI dapil Banten III nomor urut 1 telah melakukan pelanggaran dengan memasang alat peraga bersama pada sebuah tiang telpon pada masa tenang di jalan Doktor Setia Budi, Pamulang",Dugaan Pelanggaran Pidana,
00190,"Caleg Nona Gayatri Nasution, S.Si caleg DPRD Kota Tangsel VI nomor urut 2 dari partai GERINDA",2014-04-08 12:00,"Jalan Doktor Setia Budi, Pamulang, South Tangerang City, Banten 15417",,Pamulang,Tangerang Selatan,Banten,"Nona Gayatri Nasution, S.Si caleg DPRD Kota Tangsel VI nomor urut 2 dari partai GERINDA telah melakukan pelanggaran dengan memasang alat peraga bersama pada sebuah tiang telpon pada masa tenang di jalan Doktor Setia Budi, Pamulang",Dugaan Pelanggaran Pidana,
00191,"M. Ali Taher, caleg DPR RI nomor urut 1 dari PAN dapil Banten III",2014-04-08 12:00,"Jalan Cabe Raya, Pamulang, South Tangerang City, Banten 15418",,Pamulang,Tangerang Selatan,Banten,"Telah ditemukan dugaan pelanggaran yang dilakukan oleh M. Ali Taher, caleg DPR RI nomor urut 1 dari PAN dapil Banten III. Temuan pelanggaran tersebut berupa poster dan bendera partai di sebuah tembok di Jalan Cabe Raya, Pamulang, South Tangerang City, Banten 15418, Indonesia",Dugaan Pelanggaran Pidana,
00192,"H. Inas Nasrullah Zubir BE, SE, caleg DPR RI dapil Banten III dan Nurul Hayati, caleg DPRD Kota Tangerang Selatan",2014-04-08 12:00,"Jalan Cabe Raya, Pamulang, South Tangerang City, Banten 15418",,Pamulang,Tangerang Selatan,Banten,"Telah ditemukan dugaan pelanggaran oleh H. Inas Nasrullah Zubir BE, SE, caleg DPR RI dapil Banten III dan Nurul Hayati, caleg DPRD Kota Tangerang Selatan",Dugaan Pelanggaran Pidana,
00193,Puan Maharani sebagai caleg DPR Pusat (PDI Perjuangan),2014-04-08 12:00,"Di pertigaan lampu merah candi Prambanan Kab. Klaten Prambanan, Klaten, Central Java",,Prambanan,Klaten,Jawa Tengah,Hari tenang Pemilu hari kedua 8/4/2014. Di pertigaan lampu merah candi Prambanan Kab. Klaten masih terpasang APK berupa baliho dari Partai PDIP Padahal di baliho tersebut jelas terlihat ada lambang partai PDIP serta Puan Maharani sebagai caleg DPR Pusat.,Dugaan Pelanggaran Pidana,
00194,"Mohammad Arief Firmansyah, Caleg DPRD Provinsi Jawa Barat No. Urut 5, dari Partai Hanura, Dapil Depok dan Bekasi",2014-04-08 12:00,Melalui salah satu Jaringan Telekomunikasi,,,,,"SMS dari nomor +6281321038706 yang berisi detail caleg Mohammad Arief Firmansyah, Caleg DPRD Provinsi Jawa Barat No. Urut 5, dari Partai Hanura, Dapil Depok dan Bekasi",Dugaan Pelanggaran Pidana,
00195,"calon legislatif DPD RI Propinsi Banten nomor urut 26, Ir. Togu Pardamean Tobing,M.Si",2014-04-08 12:00,"Jalan Dokter Setia Budi, Pamulang, Tanggerang, Banten",,Pamulang,Tangerang Selatan,Banten,"Telah ditemukan pelanggaran di minggu tenang yang dilakukan oleh calon legislatif DPD RI Propinsi Banten nomor urut 26, Ir. Togu Pardamean Tobing,M.Si berupa poster di sejumlah titik di sepanjang Jalan Dokter Setia Budi, Pamulang. Pelanggaran tersebut masih ditemukan dan belum ada tindakan",Dugaan Pelanggaran Pidana,
00196,Calon legislatif DPR RI dapil Banten III bernama Wanto Sugito,2014-04-08 12:00,tiang listrik dan tiang telepon sepanjang Jalan Cirendeu Raya,Cirendeu,Ciputat,Tangerang Selatan,Banten,Telah ditemukan dugaan pelanggaran di minggu tenang pada 8 April 2014 pukul 16.00 wib yang di lakukan oleh calon legislatif DPR RI dapil Banten III bernama Wanto Sugito. Temuan pelanggaran tersebut berupa poster di sejumlah tiang listrik dan tiang telepon sepanjang Jalan Cirendeu Raya,Dugaan Pelanggaran Pidana,
00197,Partai Nasdem DPD Jawa Tengah,2014-04-08 12:00,akun twitter dengan nana @nasdem_jateng,,,,,"Telah ditemukan dugaan pelanggaran kampanye di masa tenang, satu hari sebelum penyelanggaraan pemilu oleh akun twitter @nasdem_jateng",Dugaan Pelanggaran Pidana,
00198,"calon legislatif bernama Indra, SH caleg DPR RI nomor urur 4 dari PKS untuk dapil Kabupaten Tangerang, Kota Tangerang dan Tangerang Selatan",2014-04-08 12:00,"sepanjang jalan dari pertigaan Lebak Bulus menuju Cirende, Pondok Cabe, sampai perempatan Gaplek, Pamulang",,Ciputat,Tangerang Selatan,Banten,"Telah ditemukan dugaan pelanggaran di minggu tenang pada 8 april 2014 pukul 16.00 wib yang dilakukan oleh calon legislatif bernama Indra, SH caleg DPR RI nomor urur 4 dari PKS untuk dapil Kabupaten Tangerang, Kota Tangerang dan Tangerang Selatan",Dugaan Pelanggaran Pidana,
00199,"caleg dari partai Demokrat no. urut 5, dengan nama caleg H.SASTRAWIRA . SE.",2014-04-08 12:00,"kecamatan pesangrahan kelurahan petukangan utara rt 08/10, Jakarta Selatan",Petukangan Utara,Pesanggarahan,,Jakarta,"Kemarin sore, saya sedang duduk santai di depan rumah, tiba-tiba datang seorang yang menyatakan dari pengurus masjid di tempat tinggal saya. Dia memberikan selebaran kertas yang berisikan contoh surat suara Pemilu 2014, nama caleg dari partai Demokrat no. urut 5, dengan nama caleg H.SASTRAWIRA . SE. Alasan pembawa selebara si caleg ""telah banyak kontribusi di tempat ibadah di tempat tinggal saya"". Tapi yang jadi permasalahannya, kenapa selebaran ini dibagikan saat masa tenang H-2 pemilu.",Dugaan Pelanggaran Pidana,
00200,Caleg DPR RI (PUSAT) dari NasDem No Urut 5. Henky Prasetyo Soemitro SH MSi,2014-04-08 12:00,Salah satu jaringan telekomunikasi dengan nomor terlampir,,,,,"Ditemukan dugaan pelanggaran yakni kampanye dalam bentuk pesan singkat / SMS pada masa tenang. Kejadi berlangsung pada 8 April 2014 pukul 13.13 WIB. SMS dikirimkan oleh nomor +6285799755602 Isi SMS sebagai berikut: ""Salam 5 jari, Ojo lali tgl 9 April 2014. Coblos Bocahe Dewe, Caleg DPR RI (PUSAT) dari NasDem No Urut 5. Henky Prasetyo Soemitro SH MSi. Matur Nuwun.""",Dugaan Pelanggaran Pidana,
00201,Partai Amanat Nasional,2014-04-08 12:00,"Jalan Puri Margasatwa Barat, Cilandak, Jakarta, Indonesia",Cilandak,Pasar Minggu,,Jakarta,Ditemukan empat bendera Partai PAN di atas pohon dari perempatan Ragunan menuju Gedung Trakindo di Jalan T. B. Simatupang. Seharusnya semua bendera partai sudah diturunkan di masa tenang. Ini adalah bentuk pelanggaran pemilu dan harus ditindak tegas,Dugaan Pelanggaran Pidana,
00202,Partai Amanat Nasional,2014-04-08 12:00,"Jalan Warung Jati Barat, Mampang Prapatan, Jakarta",Buncit,Pasar Minggu,,Jakarta,Hari ini 8 april 2014 masih ditemukan baliho Parati PAN di Jalam Mampang Prapatan. Ini adalah dugaan pelanggaran karena bekampanye di masa tenang,Dugaan Pelanggaran Pidana,
00203,"Caleg DPRD dapil Kabupaten Kudus 2 (Kecamatan Bae, Kecamatan Mejobo dan Kecamatan Undaan) dari Partai PKS nomer urut 1",2014-04-08 12:00,"Desa Bae dan Desa Purworejo, Kabupaten Kudus, Propinsi Jawa Tengah",Bae,Purworejo,Kudus,Jawa Tengah,"Telah ditemukan dugaan pelanggaran yang dilakukan oleh caleg DPRD dapil Kabupaten Kudus 2 (Kecamatan Bae, Kecamatan Mejobo dan Kecamatan Undaan) dari Partai PKS nomer urut 1.Dugaan pelanggaran tersebut berupa usaha pendataan pemilih oleh para sabet atau tim sukses yang dijanjikan akan diberi uang sebesar Rp 25.000,00 apabila memilih caleg tersebut.",Dugaan Pelanggaran Pidana,
00204,"Eson Suryadi, ST, MM. nomor urut 5 Partai Amanat Nasional dapil Rancah Rajadesa TambakSari, Sukadana, Cisaga, Jatinaga",2014-04-07 12:00,Dusun Sukamaju Desa Cileungsir Rt 14 Rw 26 Kecamatan Rancah Kabupaten ciamis,Cileungsir,Rancah,Ciamis,Jawa Barat,"Di temukan dugaan pelanggaran pemiu tahun 2014 dari Partai Amanat Nasional dapil Rancah Rajadesa TambakSari, Sukadana, Cisaga, Jatinaga Dugaan pelanggaran berupa pembagian uang sebesar Rp 10.000 di Dusun Sukamaju Desa Cileungsir Rt 14 Rw 26 Kecamatan Rancah Kabupaten ciamis",Dugaan Pelanggaran Pidana,
00205,"Endang Srikanti Handayani, SH,M.Hum, nomor urut 8 dapil V Jawa Tengah di Desa Gempol RT 03/08",2014-04-07 12:00,"Desa Gempol RT 03/08, Mertan, Bendosari Sukoharjo",Gempol Mertan,Bendosari,Sukoharjo,Jawa Tengah,"Telah terjadi money politic oleh Partai Golkar dengan nama caleg Endang Srikanti Handayani, SH,M.Hum, nomor urut 8 dapil V Jawa Tengah di Desa Gempol RT 03/08, Mertan, Bendosari Sukoharjo pada tanggal 7 april 2014 18.00 wib. Saya melihat sendiri nenek saya diberi sejumlah uang untuk memilih caleg ini",Dugaan Pelanggaran Pidana,
